Category,Relic Description,Effect,Stackable with self?,Notes
Offensive,Improved [Spell School] Sorcery/Incantation,Increases damage of specified school by 1.12x,Yes,
Offensive,Improves Roar and Breath attacks,Increases roar / breath damage by 1.15x.,Yes,Does not work for Raider character skill.
Offensive,Improve [Weapon Type] attack power,Increase damage dealt by the specified weapon type by 1.09x,Yes,"Applies to weapon hit AoW (using said weapon). Does not apply to projectile AoW like thunderbolt, even when cast with said weapon type."
Offensive,Improved Attack Power with 3 [Weapon Type] Equipped,Increases damage by the specified weapon type by 1.2x,No,Works for damage from all sources. E.g. spells
Offensive,Attack power up when facing frostbite/poison/rot afflicted enemy,Increases damage by 1.1x towards targets suffering specified status effect,No,
Offensive,Frostbite in Vicinity Conceals Self,Self explanatory,No,Exclusive to (Dark) Night of the Miasma
Offensive,Poison & Rot in Vicinity Increases Attack Power,Increases damage by 1.12x for 20 seconds when poison or rot is triggered in the vicinity,No,Exclusive to Night of the Wise
Offensive,Status Ailment Gauges Slowly Increase Attack Power,"Having any amount of status ailment gauge increases damage by 1.04x every 20 seconds (10 stacks). Resets after 30 seconds 
of no status gauge.",N/A,Exclusive to Night of Dregs
Offensive,Attacks Inflict Rot When Damage Is Taken,Adds 25 rot buildup to the weapon for 12 seconds after taking damage,N/A,Exclusive to Night of Dregs
Defensive,Improved Physical Damage Negation,Increases physical damage negation by 10%,Yes,Exclusive to Dark Night of the Miasma
Defensive,Magic/Fire/Lightning/Holy Damage Negation Up,Increases magic/fire/lightning/holy damage negation by 10%,Yes,
Defensive,Improved Damage Negation at Low HP,Increases damage negation by 16% when HP is below 40%,Yes,
Defensive,Draw enemy attention while guarding,Increases aggro when holding the block button,No,Does not guarantee aggro
Defensive,Improved Poise & Damage Negation When Knocked Back by Damage,Increases damage negation by 20% and reduces incoming poise damage by 0.8x for 20 seconds,No,
Defensive,Occasionally Nullify Attacks When Damage Negation is Lowered,Self explanatory. Chance of activation currently unknown,No,"Exclusive to the Will of Balance (ED Balancer relic, unreleased)"
Regen,Character Skill Cooldown +1/2/3,Reduces skill cooldown by 0.95x/0.925x/0.9x,Yes,
Regen,Ultimate Art Gauge +1/2/3,Increases ultimate gauge gain by 1.05x/1.075x/1.1x,Yes,Only affects passive Ultimate gauge gain during combat
Regen,Partial HP Restoration upon Post-Damage Attacks,Replenishes HP on hit for a short period of time after taking damage,No,Much stronger healing than other heal on hit effects. Amount of healing varies by attack performed. Does not stack with Hand of Malenia (which will take priority and has great healing effects). 
Regen,Slowly restore HP for self and nearby allies when HP is low,Restores [MaxHP * 0.005] + 1 HP/s for 50 seconds when HP is below 20%,No,Regen stays even after you go above 20% HP
Regen,Art gauge fills moderately upon critical hit,Increases Ultimate Art Gauge by 5,No,
Regen,"HP restored when using cured meats, medicinal boluses, etc.",Restores 50 HP on consumption,No,
Regen,Art gauge charged from successful guarding,Increases Ultimate Art Gauge by 1,No,
Regen,Critical Hit Boosts Stamina Recovery Speed,Increases stamina recovery by 10/s for 15 seconds,No,
Regen,"Gesture ""Crossed Legs"" Builds Up Madness",Inflicts 10 madness buildup every 2 seconds,No,Exclusive to (Dark) Night of the Demon
Regen,Madness Continually Recovers FP,Recovers 2 FP/s for 25 seconds ,No,Exclusive to (Dark) Night of the Demon
Regen,Continuous HP recovery ,Recovers 2 HP/s,No,Exclusive to Blessed Iron Coin and Dark Night of the Fathom
Regen,Continuous FP Recovery,Recovers 1 FP/5s,Yes,Exclusive to Will of the Balancers
Regen,Rot in Vicinity Causes Continuous HP Recovery,Recovers 0.15% of max HP + 15 HP/s for 15 seconds after rot procs,N/A,Exclusive to Night of Dregs
Regen,"Raised stamina recovery for nearby allies, but not for self",Increases allies' stamina recovery speed by 4/s,,
Regen,FP Restoration upon Successive Attacks,Recovers [MaxFP * 0.05] with continuous attacks,Yes,
Regen,HP Recovery From Successful Guarding,Recovers 8 HP after blocking an attack,No,
Regen,Defeating enemies fills more of the Art gauge,Increases Ultimate Art Gauge by 5 on each enemy kill,No,
Regen,Defeating enemies restores HP for allies but not for self,Allies recover 20 HP on each enemy kill,,
Regen,Stamina Recovery upon Landing Attacks +0/+1,Restores 2/3 stamina with continuous attacks,No,Stack with the weaker version. +1 Exclusive to (Dark) Night of the Beast
Regen,HP restoration after [Weapon type] attacks,Restores 15 HP with continuous attacks,No,Amount of healing doesn't seem to change based on attack / weapon type.
Regen,FP restoration after [Weapon type] attacks,Restores 2 FP with continuous attacks,No,Amount of healing doesn't seem to change based on attack / weapon type.
Regen,HP Restoration upon Thrusting Counterattack,Restores [MaxHP * 0.025] HP on counterhits,No,
Character,Wylder: Art gauge is greatly filled when ability is activated,Increased characterSkillGauge by 18,No,
Character,[Wylder] Art activation spreads fire in the area,Ultimate art leaves behind a small area of fire that does DoT. ,No,
Character,[Wylder] Standard attacks enhanced with fiery follow-ups when using Character Skill (greatsword only),Allows you to perform a light attack follow up after using claw shot. Adds 12 fire AP to the weapon,No,
Character,[Wylder] +1 additional character skill use,Self-explanatory,No,
Character,[Guardian] Increased skill duration,Allows you to briefly charge this skill to trigger a much bigger AoE and longer lasting tornado. Can block projectile attacks.,No,
Character,[Guardian] Slowly restores nearby allies HP while Art is active,Allies restore [MaxHP * 0.1] + 12 HP/0.5s when ultimate is held,No,
Character,[Guardian] Creates whirlwind when charging halberd attacks,Performs a whirlwind attack after using halberd charged heavies,No,
Character,[Guardian] Successful guards send out shockwaves while ability is active,Sends out a shockwave when blocking an attack in the Iron Guard stance. 100 base physical attack,No,
Character,[Ironeye] Art Charge Activation Adds Poison Effect,Charged ultimate deals 300 poison buildup,No,
Character,[Ironeye] Boosts thrusting counterattacks after executing Art,Increases counterhit damage by 1.2x for 30 seconds,No,
Character,[Ironeye] Extends duration of weak point,Extends weak point duration from 17.5s to 22s,No,
Character,[Ironeye] +1 additional character skill use,Self explanatory,No,
Character,[Duchess] Defeating enemies while Art is active ups attack power,Increases damage by 1.15x for 30 seconds for each enemy killed while Ultimate is active,No,
Character,[Duchess] Improved Character Skill Attack Power,Duchess' Restage does 60% of total damage instead of 50%,No,In game testing suggest 20% damage increase
Character,[Duchess] Become difficult to spot and silence footsteps after landing critical from behind,Self explanatory,No,
Character,[Duchess] Successive dagger attack reprises event upon nearby enemies,Deals extra DoT damage after completing a full light attack chain. ,No,~36/39/39% extra damage from 1h/ 2h/ powerstance attack chain
Character,[Raider] Duration of Ultimate Art extended,Increases duration of the ultimate from 20 to 30 seconds,No,
Character,[Raider] Damage taken while using Character Skill improves attack power and stamina,Increases damage by 1.1x and maximum stamina by 1.2x for 20 seconds,No,
Character,Defeating enemies near Totem Stela restores HP,Restores [MaxHP * 0.2] on each enemy kill in the vicinity of Raider's ultimate,No,
Character,Improved Poise Near Totem Stela,Reduces incoming poise damage by 0.5x while in the vicinity of Raider's ultimate,No,
Character,[Revenant] Expend own HP to fully heal nearby allies when activating Art,Decreases current HP by 50% on ultimate usage to fully heal allies' HP,No,
Character,[Revenant] Trigger ghostflame explosion during Ultimate Art activation,Performs a ghostflame explosion on ultimate. 20 base magic damage,No,
Character,[Revenant] Strengthens family and allies when Ultimate Art is activated,Increases ally damage by 1.25x for 30 seconds after ultimate art usage,No,
Character,[Revenant] Power up while fighting alongside family,"Helen provides 1 HP/s, Frederick provides 1.1x damage, and Sebastian provides 20% elemental damage negation",No,
Character,[Recluse] Collecting affinity residue activates Terra Magica,"Creates a sigil that increases magic damage by 1.15x when standing inside, lasts 30 seconds",No,Cannot spawn a new terra magica while previous one is still active 
Character,[Recluse] Suffer blood loss and increase attack power upon Art activation,Ultimate deals [MaxHP * 0.2] damage to the player and increases damage by 1.16x for 30s,No,Applies on top of the built in ~15% damage increase from her Ultimate art
Character,[Recluse] Activating Ultimate Art raises Max HP,"Increases maximum HP by 1.5x for 30 seconds. After 30 seconds, buff stays until hit",No,
Character,[Executor] Character Skill Boosts Attack but Attacking Drains HP,Increases damage by 1.08x for 2 seconds and drains 10HP/s for each attack,No,
Character,"[Executor] While Character Skill is active, unlocking use of cursed sword restores HP",Restores 100 HP,No,
Character,[Executor] Roaring restores HP while art is active,Restores [MaxHP * 0.15] after using the roar attack in the ultimate,No,
Character,[Scholar] Prevent slowing of Character Skill,Slows the decay rate of the Analyze meter,No,
Character,[Scholar] Allies targeted by Character Skill gain boosted attack,"Upon usage of the skill, allies targeted will gain 1.2x (physical) / 1.15x (elemental) damage for 30 seconds",No,
Character,[Scholar] Continuous damage inflicted on targets threaded by Ultimate Art,Enemies affected by the ultimate takes 15 dps for 20 seconds,No,
Character,[Scholar] Earn runes for each additional specimen acquired with Character Skill,"Gain 1300 runes when analyzing a new enemy type (works like a bestiary). Scanning the same enemy type at a 
different location will not provide the runes. (needs additional confirmation)",No,
Character,[Undertaker] Activating Ultimate Art increases attack power,Increases damage by 1.14x for 40 seconds after activating ultimate,No,
Character,[Undertaker] Attack power increases by landing the final blow of a chain attack,Increases damage by 1.12x for 20 seconds after hitting final hit of R1/L1 chain,,
Character,[Undertaker] Physical attacks boosted while assist effect from incantation is active for self,Increases physical damage by 1.15x for 60 seconds after applying an incant buff,,
Character,[Undertaker] Contact with allies restores their HP while Ultimate Art is activated,Allies restore 30% of max HP + 100 HP if they make contact with the ultimate,,
